NowGroup,NowHalo,CurrentTime,CurrentGrp,CurrentHalo,NextGrp,NextHalo,SharedParticleCount,SharedDarkParticleCount
16,23264,6,16,496,14,81208,71078,25670
16,23264,7,14,81208,14,72818,63399,24035
16,23264,8,14,72818,12,12201,56079,22495
16,23264,9,12,12201,11,57748,51849,22543
16,23264,10,11,57748,10,79641,47433,21496
16,23264,11,10,79641,11,64867,40227,19271
16,23264,12,11,64867,19,22749,12813,7212
16,23264,12,11,64867,45,37154,6384,3551
72,23617,1,72,23617,72,34842,15204,8004
72,23617,2,72,34842,73,35151,13984,7403
72,23617,3,73,35151,73,77524,13847,7391
72,23617,4,73,77524,72,20100,13477,7263
72,23617,5,72,20100,75,53853,13045,7064
72,23617,6,75,53853,74,43141,11159,6164
72,23617,7,74,43141,69,75831,11241,6399
72,23617,8,69,75831,65,81192,10924,6451
72,23617,9,65,81192,61,15142,10719,6621
72,23617,10,61,15142,63,12680,8436,5619
72,23617,11,63,12680,73,12345,6868,4519
119,24226,1,119,24226,118,63782,7304,3799
119,24226,2,118,63782,119,32780,6633,3526
119,24226,3,119,32780,121,73835,6463,3552
119,24226,4,121,73835,131,54794,5656,3237
119,24226,5,131,54794,127,78459,5179,3131
122,24472,1,122,24472,123,6223,7021,4198
122,24472,2,123,6223,122,31634,6722,4053
122,24472,3,122,31634,126,8026,6603,3974
122,24472,4,126,8026,122,13958,6398,3863
122,24472,5,122,13958,120,42424,6304,3803
122,24472,6,120,42424,122,23772,5578,3335
122,24472,7,122,23772,120,74541,5221,3228
122,24472,8,120,74541,116,57035,5251,3275
122,24472,9,116,57035,106,61931,5199,3245
122,24472,10,106,61931,100,48939,4775,3025
46,24792,1,46,24792,45,71160,30205,16504
46,24792,2,45,71160,47,42512,27962,15649
46,24792,3,47,42512,50,77699,22719,12549
46,24792,4,50,77699,56,46302,17976,10124
46,24792,5,56,46302,60,43457,15215,8161
46,24792,6,60,43457,93,16293,8501,4814
46,24792,7,93,16293,101,81204,6618,3722
46,24792,8,101,81204,102,34052,5661,3185
46,24792,9,102,34052,91,74500,5561,3036
46,24792,10,91,74500,87,66968,5306,3091
46,24792,11,87,66968,86,45327,5214,3076
145,24830,1,145,24830,144,65427,5442,2719
145,24830,2,144,65427,125,43759,5427,2828
145,24830,3,125,43759,137,35150,5993,3201
145,24830,4,137,35150,141,23132,5725,3092
145,24830,5,141,23132,145,6295,5377,2894
152,25247,1,152,25247,151,69289,5276,3998
152,25247,2,151,69289,150,37120,4965,3784
152,25247,3,150,37120,155,12947,4950,3741
152,25247,4,155,12947,152,72724,4805,3584
152,25247,5,152,72724,150,71700,4824,3601
152,25247,6,150,71700,154,35666,4216,3197
152,25247,7,154,35666,159,23038,3676,2771
102,25589,1,102,25589,103,30484,8790,5447
102,25589,2,103,30484,103,56369,8284,5078
102,25589,3,103,56369,101,47008,8403,5152
102,25589,4,101,47008,98,25793,8646,5358
102,25589,5,98,25793,96,19201,8939,5557
102,25589,6,96,19201,92,27009,7858,4771
102,25589,7,92,27009,114,56080,6324,3840
155,26280,1,155,26280,154,72094,4709,3543
155,26280,2,154,72094,166,76267,4160,3111
155,26280,3,166,76267,190,22437,3836,2754
155,26280,4,190,22437,190,8024,3611,2577
159,26648,1,159,26648,158,8253,4947,3974
159,26648,2,158,8253,158,41224,4666,3724
159,26648,3,158,41224,161,17645,4647,3672
159,26648,4,161,17645,156,56823,4751,3617
159,26648,5,156,56823,155,46921,4792,3605
159,26648,6,155,46921,150,40942,4335,3189
159,26648,7,150,40942,148,31750,4333,3188
182,26692,1,182,26692,182,74804,3852,2596
182,26692,2,182,74804,187,4944,3603,2452
125,27609,1,125,27609,126,7197,6814,4744
125,27609,2,126,7197,123,18660,6419,4492
125,27609,3,123,18660,125,70672,6266,4236
125,27609,4,125,70672,125,49398,6181,4152
125,27609,5,125,49398,125,7291,6089,3983
125,27609,6,125,7291,136,53271,5108,3248
125,27609,7,136,53271,138,30125,4964,3023
125,27609,8,138,30125,135,38310,4551,2749
125,27609,9,135,38310,132,66614,4221,2603
19,27665,1,19,27665,19,67704,81275,28572
19,27665,2,19,67704,20,23514,74944,26793
19,27665,3,20,23514,20,9806,71424,26614
19,27665,4,20,9806,20,70750,67032,26025
19,27665,5,20,70750,19,4147,62441,24403
19,27665,6,19,4147,16,22272,52918,22145
19,27665,7,16,22272,18,73232,51402,23376
19,27665,8,18,73232,17,27571,46728,22924
19,27665,9,17,27571,18,1108,34771,17168
19,27665,10,18,1108,23,56715,25646,12376
19,27665,11,23,56715,23,82167,21158,10357
19,27665,12,23,82167,17,40098,12567,7108
19,27665,13,17,40098,22,61145,5134,3130
82,29075,1,82,29075,82,59121,12363,6965
82,29075,2,82,59121,83,54680,11544,6432
82,29075,3,83,54680,83,36829,11407,6304
82,29075,4,83,36829,83,65781,11569,6256
82,29075,5,83,65781,81,62021,11488,6208
82,29075,6,81,62021,82,76647,8329,4551
82,29075,7,82,76647,83,20026,7283,3787
82,29075,8,83,20026,91,11042,5766,2996
42,29434,1,42,29434,42,68712,34310,14994
42,29434,2,42,68712,44,11104,31851,14036
42,29434,3,44,11104,43,33957,30672,13674
42,29434,4,43,33957,45,14445,29329,13201
42,29434,5,45,14445,42,6882,28091,12851
42,29434,6,42,6882,42,20745,24154,11240
42,29434,7,42,20745,44,1111,20368,9609
